Method, Number of uses
org/apache/sysds/hops/rewrite/RewriteCompressedReblock$ProbeStatus.getTmpName, 5
org/apache/sysds/hops/FunctionOp.getOutputVariableNames, 12
org/apache/sysds/hops/DnnOp.getDim, 5
org/apache/sysds/runtime/functionobjects/KahanPlus.execute, 10
org/apache/sysds/runtime/matrix/data/MatrixCell.<init>, 8
org/apache/sysds/runtime/matrix/data/MatrixValue.<init>, 13
org/apache/sysds/runtime/matrix/data/MatrixCell.checkType, 12
org/apache/sysds/runtime/matrix/data/MatrixCell.setValue, 11
org/apache/sysds/runtime/matrix/operators/ScalarOperator.getConstant, 6
org/apache/sysds/runtime/functionobjects/CTable.getCTableFnObject, 12
org/apache/sysds/runtime/functionobjects/CTable.execute, 8
org/apache/sysds/runtime/functionobjects/CTable.execute, 7
org/apache/sysds/runtime/functionobjects/ValueComparisonFunction.<init>, 6
org/apache/sysds/runtime/DMLScriptException.<init>, 6
org/apache/sysds/parser/DoubleIdentifier.<init>, 5
org/apache/sysds/runtime/data/SparseBlock.<init>, 13
org/apache/sysds/runtime/data/SparseBlock.size, 8
org/apache/sysds/runtime/data/SparseBlockCSR.numRows, 8
org/apache/sysds/runtime/data/SparseBlock.numRows, 45
org/apache/sysds/runtime/data/SparseRow.isEmpty, 6
org/apache/sysds/runtime/data/SparseRow.size, 18
org/apache/sysds/runtime/data/SparseRow.indexes, 14
org/apache/sysds/runtime/data/SparseRow.values, 15
org/apache/sysds/runtime/data/SparseBlockCSR.newCapacity, 5
org/apache/sysds/runtime/data/SparseBlockCSR.resize, 7
org/apache/sysds/utils/MemoryEstimates.doubleArrayCost, 6
org/apache/sysds/runtime/data/SparseBlockCSR.pos, 23
org/apache/sysds/runtime/data/SparseBlockCSR.size, 20
org/apache/sysds/runtime/data/SparseBlockCSR.decrPtr, 5
org/apache/sysds/runtime/data/SparseBlockCSR.isEmpty, 7
org/apache/sysds/runtime/data/SparseBlockCSR.shiftRightByN, 5
org/apache/sysds/runtime/data/SparseBlockCSR.incrPtr, 6
org/apache/sysds/runtime/util/UtilFunctions.computeNnz, 15
org/apache/sysds/runtime/data/SparseRowScalar.<init>, 6
org/apache/sysds/runtime/data/SparseRowVector.<init>, 12
org/apache/sysds/runtime/data/SparseRowVector.setSize, 9
org/apache/sysds/runtime/io/FrameReader.<init>, 5
org/apache/sysds/conf/DMLConfig.getIntValue, 8
org/apache/sysds/runtime/compress/lib/CLALibUtils.shouldPreFilter, 12
org/apache/sysds/runtime/compress/lib/CLALibUtils.filterGroups, 11
org/apache/sysds/runtime/compress/colgroup/ColGroupConst.create, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.allocateSparseRowsBlock, 22
org/apache/sysds/runtime/compress/colgroup/ColGroupUncompressed.getData, 6
org/apache/sysds/runtime/data/DenseBlock.isContiguous, 16
org/apache/sysds/hops/codegen/cplan/CNodeData.getHopID, 15
org/apache/sysds/hops/codegen/cplan/CNodeUnary.<init>, 11
org/apache/sysds/hops/codegen/cplan/CNodeMultiAgg.getOutputs, 6
org/apache/sysds/runtime/matrix/data/FrameBlock.isColumnMetadataDefault, 5
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.getMBDict, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/MatrixBlockDictionary.getMatrixBlock, 10
org/apache/sysds/runtime/matrix/data/LibMatrixMult.matrixMult, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.getValues, 17
org/apache/sysds/runtime/compress/colgroup/dictionary/Dictionary.getValues, 11
org/apache/sysds/runtime/matrix/data/LibMatrixReorg.transpose, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.<init>, 12
org/apache/sysds/runtime/io/hdf5/H5BufferBuilder.writeInt, 7
org/apache/sysds/runtime/matrix/data/FrameBlock.<init>, 19
org/apache/sysds/api/jmlc/Connection.setLocalConfigs, 8
org/apache/sysds/runtime/io/IOUtilFunctions.isObjectStoreFileScheme, 8
org/apache/sysds/runtime/meta/MetaDataAll.<init>, 6
org/apache/sysds/runtime/io/IOUtilFunctions.toInputStream, 7
org/apache/sysds/runtime/data/SparseBlock.set, 14
org/apache/sysds/runtime/data/SparseRow.append, 6
org/apache/sysds/runtime/matrix/data/LibMatrixDNNPooling.comp, 6
org/apache/sysds/runtime/instructions/spark/data/CorrMatrixBlock.getValue, 5
org/apache/sysds/runtime/matrix/data/OperationsOnMatrixValues.incrementalAggregation, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.<init>, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.<init>, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.sortOperations, 5
org/apache/sysds/runtime/transform/decode/Decoder.<init>, 7
org/apache/sysds/hops/codegen/template/TemplateUtils.isColVector, 5
org/apache/sysds/hops/TernaryOp.getOp, 10
org/apache/sysds/hops/ParameterizedBuiltinOp.getOp, 8
org/apache/sysds/hops/codegen/template/TemplateUtils.createCNodeData, 5
org/apache/sysds/hops/codegen/template/TemplateUtils.isUnary, 5
org/apache/sysds/hops/codegen/cplan/CNodeUnary.getType, 5
org/apache/sysds/hops/codegen/template/TemplateUtils.isBinary, 11
org/apache/sysds/hops/codegen/cplan/CNodeBinary.getType, 6
org/apache/sysds/hops/codegen/cplan/CNode.getInput, 32
org/apache/sysds/hops/codegen/cplan/CNodeTernary.getType, 6
org/apache/sysds/hops/LiteralOp.getStringValue, 24
org/apache/sysds/hops/rewrite/HopRewriteUtils.isDnn, 9
org/apache/sysds/hops/codegen/cplan/CNode.resetVisitStatus, 7
org/apache/sysds/hops/codegen/cplan/CNode.isVisited, 11
org/apache/sysds/hops/codegen/cplan/CNode.setVisited, 10
org/apache/sysds/hops/codegen/cplan/CNode.getID, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.binaryOperations, 13
org/apache/sysds/runtime/lineage/LineageItem.getId, 18
org/apache/sysds/hops/codegen/cplan/CNodeTpl.hashCode, 5
org/apache/sysds/runtime/data/SparseBlockCOO.pos, 20
org/apache/sysds/runtime/data/SparseBlockCOO.size, 10
org/apache/sysds/runtime/util/FastBufferedDataInputStream.readFully, 9
org/apache/sysds/runtime/util/FastStringTokenizer.nextDouble, 7
org/apache/sysds/runtime/instructions/spark/data/PartitionedBroadcast.getNumColumnBlocks, 5
org/apache/sysds/hops/codegen/template/TemplateBase.<init>, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.isBinaryMatrixMatrixOperation, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.isBinarySparseSafe, 5
org/apache/sysds/hops/codegen/cplan/CNodeBinary.<init>, 5
org/apache/sysds/runtime/util/HDFSTool.existsFileOnHDFS, 10
org/apache/sysds/runtime/meta/MetaDataAll.setFormatTypeString, 5
org/apache/sysds/parser/BooleanIdentifier.<init>, 5
org/apache/sysds/runtime/matrix/data/LibMatrixDNNHelper$CellIndex3.<init>, 6
org/apache/sysds/runtime/matrix/data/LibMatrixDNNHelper.computeTensorIndexes, 6
org/apache/sysds/runtime/meta/DataCharacteristics.getNonZerosBound, 8
org/apache/sysds/runtime/meta/DataCharacteristics.setNonZerosBound, 5
org/apache/sysds/runtime/controlprogram/parfor/Task.<init>, 6
org/apache/sysds/runtime/controlprogram/parfor/Task.addIteration, 6
org/apache/sysds/runtime/controlprogram/federated/FederatedData.copyWithNewID, 6
org/apache/sysds/runtime/meta/DataCharacteristics.getNumDims, 6
org/apache/sysds/hops/rewrite/HopRewriteUtils.isParameterBuiltinOp, 5
org/apache/sysds/runtime/instructions/cp/ComputationCPInstruction.<init>, 5
org/apache/sysds/hops/OptimizerUtils.getTransformNumThreads, 6
org/apache/sysds/runtime/matrix/data/FrameBlock.<init>, 7
org/apache/sysds/runtime/matrix/data/FrameBlock.setColumnNames, 10
org/apache/sysds/runtime/transform/TfUtils$TfMethod.toString, 9
org/apache/sysds/runtime/meta/DataCharacteristics.getNumBlocks, 5
org/apache/sysds/hops/codegen/opt/PlanPartition.getMatPointsExt, 5
org/apache/sysds/hops/codegen/opt/PlanPartition.getRoots, 7
org/apache/sysds/hops/codegen/template/CPlanMemoTable.getHopRefs, 27
org/apache/sysds/runtime/util/UtilFunctions.pow, 8
org/apache/sysds/runtime/compress/colgroup/offset/OffsetByte$IterateByteOffset.getOffsetsIndex, 11
org/apache/sysds/runtime/compress/colgroup/offset/OffsetByte$IterateByteOffset.getDataIndex, 11
org/apache/sysds/runtime/data/DenseBlock.getCumODims, 9
org/apache/sysds/runtime/compress/colgroup/offset/OffsetByte$IterateByteOffset.next, 5
org/apache/sysds/runtime/matrix/data/IJV.<init>, 6
org/apache/sysds/runtime/io/FileFormatPropertiesMM.isSymmetric, 6
org/apache/sysds/hops/FunctionOp.<init>, 5
org/apache/sysds/hops/FunctionOp.getFunctionType, 5
org/apache/sysds/runtime/util/UtilFunctions.objectToDouble, 8
org/apache/sysds/runtime/util/UtilFunctions.stringToObject, 15
org/apache/sysds/runtime/lineage/LineageItem.<init>, 9
org/apache/sysds/runtime/lineage/LineageItem.setVisited, 5
org/apache/sysds/runtime/lineage/LineageItem.isLeaf, 7
org/apache/sysds/hops/OptimizerUtils.getParallelBinaryReadParallelism, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.estimateSizeInMemory, 9
org/apache/sysds/runtime/matrix/data/MatrixBlock.estimateSizeOnDisk, 9
org/apache/sysds/runtime/controlprogram/federated/FederationMap.setType, 5
org/apache/sysds/runtime/instructions/InstructionUtils.replaceOperand, 11
org/apache/sysds/runtime/instructions/InstructionUtils.parseScalarBinaryOperator, 7
org/apache/sysds/runtime/matrix/data/LibMatrixAgg.aggregateUnaryMatrix, 10
org/apache/sysds/runtime/matrix/data/MatrixBlock.slice, 10
org/apache/sysds/runtime/functionobjects/Builtin.getBuiltinCode, 18
org/apache/sysds/runtime/matrix/operators/AggregateUnaryOperator.isRowAggregate, 5
org/apache/sysds/runtime/matrix/operators/AggregateUnaryOperator.isColAggregate, 5
org/apache/sysds/runtime/controlprogram/federated/FederationMap.<init>, 5
org/apache/sysds/utils/stats/SparkStatistics.accCollectTime, 5
org/apache/sysds/runtime/instructions/gpu/context/ExecutionConfig.getConfigForSimpleMatrixOperations, 10
org/apache/sysds/common/Types$OpOpData.isTransient, 8
org/apache/sysds/common/Types$OpOpData.isRead, 8
org/apache/sysds/common/Types$OpOpData.isWrite, 5
org/apache/sysds/lops/OutputParameters.getNumRows, 11
org/apache/sysds/lops/OutputParameters.getNumCols, 10
org/apache/sysds/lops/Data.getStringValue, 6
org/apache/sysds/lops/Data.getNamedInputLop, 6
org/apache/sysds/lops/OutputParameters.getBlocksize, 9
org/apache/sysds/lops/OutputParameters.getNnz, 5
org/apache/sysds/hops/ipa/IPAPassRewriteFederatedPlan.rewriteStatementBlocks, 5
org/apache/sysds/hops/ipa/IPAPassRewriteFederatedPlan.selectFederatedExecutionPlan, 5
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.getOutput, 6
org/apache/sysds/runtime/controlprogram/caching/CacheableData.acquireReadAndRelease, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.containsValue, 6
org/apache/sysds/hops/estim/EstimatorBitsetMM$BitsetMatrix1.<init>, 9
org/apache/sysds/hops/estim/EstimatorBitsetMM$BitsetMatrix1.card, 5
org/apache/sysds/hops/estim/EstimatorBitsetMM$BitsetMatrix.getNumRows, 6
org/apache/sysds/hops/estim/EstimatorBitsetMM$BitsetMatrix.getNumColumns, 6
org/apache/sysds/hops/estim/EstimatorBitsetMM$BitsetMatrix2.<init>, 8
org/apache/sysds/runtime/compress/CompressedMatrixBlock.allocateColGroupList, 12
org/apache/sysds/runtime/compress/CompressedMatrixBlock.setOverlapping, 7
org/apache/sysds/runtime/compress/colgroup/AColGroup.getColIndices, 7
org/apache/sysds/runtime/matrix/operators/RightScalarOperator.<init>, 10
org/apache/sysds/hops/LiteralOp.getDoubleValue, 16
org/apache/sysds/api/mlcontext/MLResults.getData, 7
org/apache/sysds/api/mlcontext/MLResults.getMatrixObject, 12
org/apache/sysds/api/mlcontext/MLResults.getFrameObject, 7
org/apache/sysds/api/mlcontext/MLResults.isMatrixObject, 5
org/apache/sysds/api/mlcontext/MLResults.isFrameObject, 10
org/apache/sysds/api/mlcontext/MLContextConversionUtil.matrixObjectToDataFrame, 11
org/apache/sysds/api/mlcontext/MLResults.outputValue, 22
org/apache/sysds/runtime/compress/colgroup/ColGroupUncompressed.<init>, 6
org/apache/sysds/runtime/compress/colgroup/AColGroup.getNumCols, 6
org/apache/sysds/runtime/matrix/data/LibMatrixMult.matrixMultTransposeSelf, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.cmOperations, 6
org/apache/sysds/runtime/io/hdf5/H5BufferBuilder.writeLong, 8
org/apache/sysds/runtime/controlprogram/parfor/opt/OptimizerRuleBased.getOptMode, 21
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getSparkClusterConfig, 5
org/apache/sysds/runtime/controlprogram/parfor/opt/OptimizerRuleBased.getRemoteExecType, 10
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.getChilds, 28
org/apache/sysds/runtime/controlprogram/parfor/opt/OptTree.getMappedHop, 19
org/apache/sysds/parser/ParForStatementBlock$ResultVar.contains, 5
org/apache/sysds/runtime/controlprogram/parfor/opt/OptTree.getAbstractPlanMapping, 6
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.isSparkContextCreated, 7
org/apache/sysds/hops/DataOp.isRead, 6
org/apache/sysds/runtime/instructions/gpu/GPUInstruction.<init>, 8
org/apache/sysds/runtime/matrix/data/MatrixBlock.removeEmptyOperations, 5
org/apache/sysds/runtime/compress/CompressedMatrixBlockFactory.compress, 6
org/apache/sysds/runtime/compress/CompressedMatrixBlockFactory.logPhase, 5
org/apache/sysds/runtime/instructions/cp/Data.<init>, 6
org/apache/sysds/runtime/compress/colgroup/dictionary/MatrixBlockDictionary.<init>, 16
org/apache/sysds/runtime/functionobjects/Minus.getMinusFnObject, 5
org/apache/sysds/runtime/matrix/operators/LeftScalarOperator.<init>, 5
org/apache/sysds/hops/IndexingOp.isRowLowerEqualsUpper, 8
org/apache/sysds/hops/IndexingOp.isColLowerEqualsUpper, 10
org/apache/sysds/hops/LeftIndexingOp.isRowLowerEqualsUpper, 6
org/apache/sysds/hops/LeftIndexingOp.isColLowerEqualsUpper, 5
org/apache/sysds/hops/LeftIndexingOp.refreshSizeInformation, 5
org/apache/sysds/hops/IndexingOp.refreshSizeInformation, 5
org/apache/sysds/runtime/data/DenseBlockLDRB.<init>, 6
org/apache/sysds/runtime/data/DenseBlockLDRB.pos, 5
org/apache/sysds/runtime/data/DenseBlockLDRB.index, 5
org/apache/sysds/runtime/data/DenseBlockLDRB.blockSize, 8
org/apache/sysds/runtime/data/DenseBlock.blockSize, 6
org/apache/sysds/runtime/data/DenseBlock.blockSize, 14
org/apache/sysds/runtime/data/SparseRow.<init>, 6
org/apache/sysds/runtime/matrix/data/FrameBlock$ColumnMetadata.setNumDistinct, 10
org/apache/sysds/runtime/matrix/data/FrameBlock$ColumnMetadata.setMvValue, 8
org/apache/sysds/common/Types$FileFormat.isTextFormat, 6
org/apache/sysds/runtime/instructions/spark/data/RDDObject.setHDFSFile, 5
org/apache/sysds/runtime/io/hdf5/Utils.readBytesAsUnsignedLong, 7
org/apache/sysds/runtime/matrix/data/FrameBlock$StringArray.<init>, 5
org/apache/sysds/runtime/instructions/InstructionUtils.createOperand, 5
org/apache/sysds/protobuf/SysdsProtos$Row$Builder.getColumnSchemaFieldBuilder, 6
org/apache/sysds/protobuf/SysdsProtos$Row$Builder.build, 5
org/apache/sysds/protobuf/SysdsProtos$Row$Builder.ensureColumnNamesIsMutable, 5
org/apache/sysds/protobuf/SysdsProtos$Row$Builder.ensureColumnDataIsMutable, 5
org/apache/sysds/protobuf/SysdsProtos$Row$Builder.ensureColumnSchemaIsMutable, 9
org/apache/sysds/protobuf/SysdsProtos$Schema$Builder.build, 5
org/apache/sysds/protobuf/SysdsProtos$Row$Builder.clone, 6
org/apache/sysds/runtime/matrix/data/LibMatrixAgg.countAgg, 6
org/apache/sysds/runtime/util/UtilFunctions.parseToDouble, 5
org/apache/sysds/runtime/io/IOUtilFunctions.checkAndRaiseErrorCSVEmptyField, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.estimateSizeSparseInMemory, 6
org/apache/sysds/hops/rewrite/HopRewriteUtils.copyLineNumbers, 26
org/apache/sysds/runtime/instructions/cp/KahanObject.set, 18
org/apache/sysds/runtime/instructions/cp/KahanObject.set, 5
org/apache/sysds/runtime/functionobjects/KahanPlus.execute, 7
org/apache/sysds/parser/Identifier.getBlocksize, 9
org/apache/sysds/runtime/controlprogram/ProgramBlock.<init>, 5
org/apache/sysds/runtime/controlprogram/ProgramBlock.execute, 7
org/apache/sysds/hops/UnaryOp.<init>, 11
org/apache/sysds/hops/rewrite/HopRewriteUtils.getIntValueSafe, 11
org/apache/sysds/hops/recompile/Recompiler.recompile, 5
org/apache/sysds/parser/StatementBlock.requiresRecompilation, 5
org/apache/sysds/hops/recompile/RecompileStatus.getTWriteStats, 6
org/apache/sysds/runtime/controlprogram/caching/FrameObject.getNumRows, 5
org/apache/sysds/runtime/controlprogram/caching/FrameObject.getNumColumns, 11
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getRDDHandle, 9
org/apache/sysds/runtime/util/UtilFunctions.getSeqLength, 5
org/apache/sysds/runtime/data/DenseBlockFactory.createDenseBlock, 6
org/apache/sysds/runtime/util/CommonThreadPool.invokeAndShutdown, 6
org/apache/sysds/hops/ipa/FunctionCallGraph.getFunctionCalls, 6
org/apache/sysds/hops/FunctionOp.getInputVariableNames, 7
org/apache/sysds/parser/BuiltinFunctionExpression.getSecondExpr, 10
org/apache/sysds/parser/BuiltinFunctionExpression.getThirdExpr, 6
org/apache/sysds/parser/ParForStatementBlock$LinearFunction.<init>, 7
org/apache/sysds/runtime/privacy/PrivacyConstraint.<init>, 6
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.getVariableOpcode, 5
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.getInput1, 25
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.getInput2, 14
org/apache/sysds/api/mlcontext/MLContextConversionUtil.jsc, 9
org/apache/sysds/api/mlcontext/MatrixMetadata.getMatrixFormat, 5
org/apache/sysds/runtime/instructions/spark/data/RDDObject.<init>, 14
org/apache/sysds/runtime/meta/MatrixCharacteristics.getCols, 10
org/apache/sysds/runtime/instructions/spark/functions/CopyTextInputFunction.<init>, 6
org/apache/sysds/runtime/data/TensorIndexes.<init>, 7
org/apache/sysds/runtime/instructions/fed/ComputationFEDInstruction.<init>, 5
org/apache/sysds/runtime/codegen/SpoofOuterProduct.getOuterProdType, 5
org/apache/sysds/runtime/codegen/SpoofRowwise$RowType.isConstDim2, 5
org/apache/sysds/runtime/codegen/SpoofRowwise$RowType.isRowTypeB1, 5
org/apache/sysds/runtime/instructions/InstructionUtils.checkNumFields, 6
org/apache/sysds/runtime/matrix/operators/AggregateOperator.<init>, 14
org/apache/sysds/runtime/matrix/operators/AggregateUnaryOperator.<init>, 5
org/apache/sysds/runtime/functionobjects/KahanPlusSq.getKahanPlusSqFnObject, 5
org/apache/sysds/runtime/matrix/data/FrameBlock$LongArray.<init>, 5
org/apache/sysds/runtime/instructions/cp/CPOperand.<init>, 5
org/apache/sysds/runtime/io/FileFormatPropertiesCSV.isFill, 9
org/apache/sysds/runtime/io/FileFormatPropertiesCSV.getFillValue, 10
org/apache/sysds/runtime/io/FileFormatPropertiesCSV.getNAStrings, 8
org/apache/sysds/runtime/io/IOUtilFunctions.checkAndRaiseErrorCSVNumColumns, 7
org/apache/sysds/runtime/data/TensorBlock.getDims, 5
org/apache/sysds/runtime/data/TensorBlock.getLength, 8
org/apache/sysds/runtime/data/TensorBlock.getNumRows, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.copyShallow, 5
org/apache/sysds/runtime/data/SparseBlockFactory.copySparseBlock, 7
org/apache/sysds/runtime/matrix/data/LibMatrixAgg.getAggType, 5
org/apache/sysds/runtime/util/UtilFunctions.getBalancedBlockSizesDefault, 10
org/apache/sysds/runtime/matrix/data/MatrixBlock.copy, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.isThreadSafe, 5
org/apache/sysds/runtime/data/DenseBlock.index, 9
org/apache/sysds/runtime/matrix/data/LibMatrixAgg.sum, 8
org/apache/sysds/runtime/data/DenseBlock.set, 6
org/apache/sysds/runtime/instructions/cp/CM_COV_Object.getRequiredResult, 9
org/apache/sysds/runtime/data/SparseBlock.isContiguous, 12
org/apache/sysds/runtime/data/SparseBlock.size, 13
org/apache/sysds/runtime/data/DenseBlock.set, 9
org/apache/sysds/runtime/functionobjects/KahanFunction.execute2, 9
org/apache/sysds/runtime/matrix/data/LibMatrixCUDA.unaryOp, 18
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.getGPUProperties, 5
org/apache/sysds/hops/codegen/opt/PlanPartition.getPartition, 10
org/apache/sysds/runtime/io/IOUtilFunctions.getUTFSize, 6
org/apache/sysds/runtime/instructions/spark/SPInstruction.<init>, 5
org/apache/sysds/runtime/instructions/Instruction.<init>, 5
org/apache/sysds/runtime/instructions/Instruction.requiresLabelUpdate, 7
org/apache/sysds/utils/Statistics.incrementNoOfExecutedSPInst, 5
org/apache/sysds/hops/estim/MMNode.getLeft, 6
org/apache/sysds/hops/estim/MMNode.getRight, 6
org/apache/sysds/hops/estim/MMNode.getOp, 5
org/apache/sysds/hops/estim/MMNode.setSynopsis, 6
org/apache/sysds/hops/estim/EstimatorDensityMap$DensityMap.getNumRowsOrig, 9
org/apache/sysds/hops/estim/EstimatorDensityMap$DensityMap.getNumColumnsOrig, 9
org/apache/sysds/runtime/meta/MatrixCharacteristics.<init>, 8
org/apache/sysds/hops/estim/MMNode.setDataCharacteristics, 6
org/apache/sysds/runtime/meta/DataCharacteristics.getSparsity, 11
org/apache/sysds/hops/estim/MMNode.isLeaf, 7
org/apache/sysds/hops/estim/MMNode.getData, 5
org/apache/sysds/hops/DataGenOp.<init>, 12
org/apache/sysds/hops/DataOp.setFileName, 6
org/apache/sysds/hops/IndexingOp.<init>, 5
org/apache/sysds/hops/ParameterizedBuiltinOp.getParameterHop, 18
org/apache/sysds/hops/DnnOp.getOp, 11
org/apache/sysds/hops/DataGenOp.getParamIndex, 10
org/apache/sysds/runtime/instructions/spark/utils/SparkUtils.fromIndexedMatrixBlock, 6
org/apache/sysds/runtime/io/ReadProperties.<init>, 5
org/apache/sysds/runtime/util/DataConverter.readMatrixFromHDFS, 5
org/apache/sysds/runtime/util/DataConverter.convertToDoubleVector, 6
org/apache/sysds/runtime/matrix/data/FrameBlock.getColumnData, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.getStringRowIterator, 7
org/apache/sysds/runtime/matrix/data/FrameBlock.<init>, 7
org/apache/sysds/runtime/data/BasicTensorBlock.<init>, 12
org/apache/sysds/runtime/data/DataTensorBlock.<init>, 5
org/apache/sysds/runtime/data/TensorBlock.getDim, 22
org/apache/sysds/runtime/data/TensorBlock.get, 8
org/apache/sysds/runtime/data/TensorBlock.isBasic, 6
org/apache/sysds/runtime/data/TensorBlock.getValueType, 10
org/apache/sysds/runtime/codegen/SpoofCellwise.getAggFunction, 14
org/apache/sysds/runtime/functionobjects/Builtin.getBuiltinFnObject, 8
org/apache/sysds/runtime/codegen/SpoofCellwise.genexec, 17
org/apache/sysds/runtime/matrix/data/MatrixBlock.reset, 9
org/apache/sysds/runtime/matrix/data/MatrixBlock.reset, 13
org/apache/sysds/runtime/matrix/data/MatrixBlock.reset, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.allocateDenseBlock, 24
org/apache/sysds/runtime/data/DenseBlock.reset, 6
org/apache/sysds/runtime/data/SparseBlockFactory.createSparseBlock, 5
org/apache/sysds/runtime/data/SparseBlock.allocate, 14
org/apache/sysds/runtime/matrix/data/MatrixBlock.evalSparseFormatOnDisk, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.cleanupBlock, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.checkType, 22
org/apache/sysds/runtime/compress/CompressedMatrixBlock.getUncompressed, 5
org/apache/sysds/runtime/data/DenseBlock.pos, 11
org/apache/sysds/runtime/data/DenseBlock.set, 5
org/apache/sysds/runtime/matrix/data/LibMatrixBincell.getBinaryAccessType, 11
org/apache/sysds/runtime/matrix/operators/BinaryOperator.getNumThreads, 5
org/apache/sysds/runtime/matrix/data/MatrixValue$CellIndex.<init>, 5
org/apache/sysds/runtime/matrix/operators/AggregateUnaryOperator.getNumThreads, 7
org/apache/sysds/runtime/matrix/data/MatrixBlock.sumWeightForQuantile, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.sampleOperations, 5
org/apache/sysds/runtime/controlprogram/parfor/Task.size, 5
org/apache/sysds/runtime/matrix/data/LibMatrixCuDNN.getCudnnHandle, 12
org/apache/sysds/runtime/instructions/gpu/context/GPUContext.toString, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/Dictionary.size, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/Dictionary.getNumberOfValues, 7
org/apache/sysds/parser/FunctionDictionary.<init>, 5
org/apache/sysds/parser/ParameterExpression.<init>, 5
org/apache/sysds/parser/dml/DmlSyntacticValidator.binaryExpressionHelper, 5
org/apache/sysds/parser/dml/DmlSyntacticValidator.setFileLineColumn, 10
org/apache/sysds/parser/dml/DmlSyntacticValidator.notifyErrorListeners, 24
org/apache/sysds/parser/FunctionDictionary.getFunctions, 11
org/apache/sysds/parser/dml/DmlSyntacticValidator.getStatementBlock, 5
org/apache/sysds/lops/DnnTransform.getOpcode, 5
org/apache/sysds/hops/estim/EstimatorMatrixHistogram$MatrixHistogram.getRows, 13
org/apache/sysds/hops/estim/EstimatorMatrixHistogram$MatrixHistogram.getCols, 13
org/apache/sysds/hops/estim/EstimatorMatrixHistogram$MatrixHistogram.getNonZeros, 7
org/apache/sysds/runtime/io/ReaderTextCSVParallel$CSVReadTask.<init>, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.appendRow, 9
org/apache/sysds/runtime/compress/colgroup/dictionary/QDictionary.size, 5
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.getInput3, 7
org/apache/sysds/parser/ConstIdentifier.<init>, 5
org/apache/sysds/runtime/privacy/finegrained/FineGrainedPrivacy.getAllConstraintsList, 5
org/apache/sysds/runtime/transform/encode/LegacyEncoder.<init>, 5
org/apache/sysds/runtime/data/BasicTensorBlock.isEmpty, 6
org/apache/sysds/runtime/data/BasicTensorBlock.isSparse, 6
org/apache/sysds/runtime/data/BasicTensorBlock.set, 6
org/apache/sysds/runtime/data/BasicTensorBlock.getLength, 7
org/apache/sysds/runtime/data/BasicTensorBlock.getDenseBlock, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedData.getAddress, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedData.getFilepath, 5
org/apache/sysds/runtime/compress/estim/encoding/IEncode.computeSizeEstimation, 6
org/apache/sysds/runtime/compress/estim/CompressedSizeInfoColGroup.<init>, 6
org/apache/sysds/runtime/compress/estim/EstimationFactors.<init>, 6
org/apache/sysds/runtime/controlprogram/caching/CacheableData.isEmpty, 6
org/apache/sysds/runtime/controlprogram/caching/CacheableData.isBelowCachingThreshold, 5
org/apache/sysds/runtime/controlprogram/caching/CacheableData.setDirty, 5
org/apache/sysds/runtime/util/HDFSTool.writeMetaDataFile, 6
org/apache/sysds/runtime/compress/colgroup/ColGroupPFOR.create, 6
org/apache/sysds/runtime/instructions/cp/DataGenCPInstruction.getCols, 5
