Method, Number of uses
org/apache/sysds/runtime/data/DenseBlockFP64.<init>, 6
org/apache/sysds/runtime/codegen/LibSpoofPrimitives.setupThreadLocalMemory, 5
org/apache/sysds/runtime/functionobjects/IntegerDivide.getFnObject, 7
org/apache/sysds/runtime/functionobjects/Modulus.getFnObject, 6
org/apache/sysds/runtime/compress/colgroup/ColGroupSDCSingle.<init>, 10
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.getIterator, 24
org/apache/sysds/runtime/compress/colgroup/offset/AIterator.value, 35
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.getValue, 14
org/apache/sysds/runtime/functionobjects/Builtin.execute, 41
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.cacheIterator, 21
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.getOffsetToLast, 30
org/apache/sysds/runtime/compress/colgroup/offset/AIterator.next, 38
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.getInMemorySize, 5
org/apache/sysds/runtime/matrix/operators/ScalarOperator.executeScalar, 23
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.applyScalarOp, 10
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.binOpLeft, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.binOpRight, 7
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.write, 5
org/apache/sysds/runtime/compress/colgroup/offset/OffsetFactory.readIn, 5
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.getExactSizeOnDisk, 5
org/apache/sysds/runtime/compress/colgroup/ColGroupSDCSingleZeros.<init>, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.rexpandCols, 6
org/apache/sysds/runtime/compress/colgroup/ColGroupEmpty.create, 11
org/apache/sysds/runtime/compress/utils/Util.genColsIndices, 8
org/apache/sysds/runtime/compress/colgroup/dictionary/Dictionary.<init>, 31
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.toString, 5
org/apache/sysds/runtime/io/hdf5/H5RootObject.readBufferFromAddress, 6
org/apache/sysds/runtime/io/hdf5/H5RuntimeException.<init>, 17
org/apache/sysds/runtime/matrix/data/MatrixBlock.recomputeNonZeros, 16
org/apache/sysds/common/Types$ValueType.values, 32
org/apache/sysds/hops/estim/EstimatorDensityMap$DensityMap.<init>, 7
org/apache/sysds/hops/estim/EstimatorDensityMap$DensityMap.getNumRows, 6
org/apache/sysds/hops/estim/EstimatorDensityMap$DensityMap.getNumColumns, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.getLength, 17
org/apache/sysds/runtime/data/DenseBlock.set, 16
org/apache/sysds/runtime/instructions/gpu/GPUInstruction.<init>, 12
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getScalarInput, 22
org/apache/sysds/runtime/matrix/data/LibMatrixCUDA.getDensePointer, 23
org/apache/sysds/runtime/matrix/data/LibMatrixCUDA.getDenseMatrixOutputForGPUInstruction, 17
org/apache/sysds/runtime/instructions/cp/BooleanObject.getBooleanValue, 9
org/apache/sysds/runtime/matrix/data/LibMatrixCUDA.toInt, 28
org/apache/sysds/runtime/matrix/data/LibMatrixCUDA.getCudaKernels, 26
org/apache/sysds/runtime/instructions/gpu/context/ExecutionConfig.getConfigForSimpleVectorOperations, 17
org/apache/sysds/runtime/instructions/gpu/context/JCudaKernels.launchKernel, 31
org/apache/sysds/runtime/compress/utils/DoubleCountHashMap.<init>, 5
org/apache/sysds/runtime/compress/utils/DoubleCountHashMap.increment, 5
org/apache/sysds/runtime/compress/utils/DoubleCountHashMap.get, 5
org/apache/sysds/runtime/privacy/PrivacyConstraint.<init>, 6
org/apache/sysds/runtime/privacy/PrivacyUtils.privacyConstraintFineGrainedActivated, 6
org/apache/sysds/runtime/privacy/PrivacyConstraint.getFineGrainedPrivacy, 18
org/apache/sysds/runtime/privacy/finegrained/DataRange.<init>, 17
org/apache/sysds/runtime/privacy/PrivacyConstraint.getPrivacyLevel, 13
org/apache/sysds/runtime/privacy/propagation/PrivacyPropagator.corePropagation, 5
org/apache/sysds/runtime/privacy/finegrained/DataRange.getBeginDims, 11
org/apache/sysds/runtime/privacy/finegrained/DataRange.getEndDims, 11
